filename,label
unlabeled_pool/6Oct13-643-1.BMP,1
unlabeled_pool/6Oct13-726-1.BMP,1
unlabeled_pool/6Oct13-871.BMP,1
unlabeled_pool/6Oct13-136.BMP,0
unlabeled_pool/6Oct13-451-1.BMP,1
unlabeled_pool/6Oct13-376.BMP,1
unlabeled_pool/6Oct13-730-1.BMP,1
unlabeled_pool/6Oct13-430.BMP,0
unlabeled_pool/6Oct13-609-1.BMP,1
unlabeled_pool/6Oct13-648-2.BMP,1
unlabeled_pool/6Oct13-607.BMP,1
unlabeled_pool/6Oct13-730-2.BMP,1
unlabeled_pool/6Oct13-371.BMP,0
unlabeled_pool/6Oct13-682-3.BMP,1
unlabeled_pool/6Oct13-633-1.BMP,1
unlabeled_pool/6Oct13-455.BMP,1
unlabeled_pool/6Oct13-783-2.BMP,1
unlabeled_pool/6Oct13-367.BMP,0
unlabeled_pool/6Oct13-290-1.BMP,1
unlabeled_pool/6Oct13-273-2.BMP,1
