filename,label
unlabeled_pool/6Oct13-281.BMP,0
unlabeled_pool/6Oct13-347-1.BMP,1
unlabeled_pool/6Oct13-207.BMP,0
unlabeled_pool/6Oct13-220.BMP,1
unlabeled_pool/6Oct13-406-1.BMP,1
unlabeled_pool/6Oct13-491-1.BMP,1
unlabeled_pool/6Oct13-682-3.BMP,1
unlabeled_pool/6Oct13-264-3.BMP,1
unlabeled_pool/6Oct13-228.BMP,1
unlabeled_pool/6Oct13-229-1.BMP,1
unlabeled_pool/6Oct13-366.BMP,0
unlabeled_pool/6Oct13-211.BMP,1
unlabeled_pool/6Oct13-422.BMP,1
unlabeled_pool/6Oct13-193.BMP,0
unlabeled_pool/6Oct13-204.BMP,0
unlabeled_pool/6Oct13-300-2.BMP,1
unlabeled_pool/6Oct13-290-1.BMP,1
unlabeled_pool/6Oct13-250.BMP,1
unlabeled_pool/6Oct13-729.BMP,1
unlabeled_pool/6Oct13-607.BMP,0
