filename,selected
unlabeled_pool/6Oct13-633-1.BMP,False
unlabeled_pool/6Oct13-726-1.BMP,True
unlabeled_pool/6Oct13-727-2.BMP,True
unlabeled_pool/6Oct13-248.BMP,True
unlabeled_pool/6Oct13-290-1.BMP,False
unlabeled_pool/6Oct13-609-1.BMP,False
unlabeled_pool/6Oct13-340-1.BMP,False
unlabeled_pool/6Oct13-415-1.BMP,False
unlabeled_pool/6Oct13-196.BMP,True
unlabeled_pool/6Oct13-791-4.BMP,False
unlabeled_pool/6Oct13-82.BMP,True
unlabeled_pool/6Oct13-741.BMP,True
unlabeled_pool/6Oct13-180.BMP,True
unlabeled_pool/6Oct13-238.BMP,False
unlabeled_pool/6Oct13-273-2.BMP,False
unlabeled_pool/6Oct13-721-1.BMP,True
unlabeled_pool/6Oct13-423-1.BMP,True
unlabeled_pool/6Oct13-777-1.BMP,False
unlabeled_pool/6Oct13-607.BMP,False
unlabeled_pool/6Oct13-751.BMP,False
unlabeled_pool/6Oct13-632-2.BMP,True
unlabeled_pool/6Oct13-460.BMP,False
unlabeled_pool/6Oct13-511.BMP,True
unlabeled_pool/6Oct13-214.BMP,True
unlabeled_pool/6Oct13-474.BMP,True
unlabeled_pool/6Oct13-406-1.BMP,False
unlabeled_pool/6Oct13-782-1.BMP,False
unlabeled_pool/6Oct13-245.BMP,True
unlabeled_pool/6Oct13-720.BMP,True
unlabeled_pool/6Oct13-213.BMP,False
unlabeled_pool/6Oct13-236-5.BMP,True
unlabeled_pool/6Oct13-395-1.BMP,True
unlabeled_pool/6Oct13-451-1.BMP,False
unlabeled_pool/6Oct13-243-1.BMP,False
unlabeled_pool/6Oct13-791-2.BMP,True
unlabeled_pool/6Oct13-198.BMP,False
unlabeled_pool/6Oct13-480-1.BMP,False
unlabeled_pool/6Oct13-610-1.BMP,False
unlabeled_pool/6Oct13-746-1.BMP,True
unlabeled_pool/6Oct13-703-1.BMP,True
