rank,filename,p_no_defect,p_defect,predicted_label,uncertainty_entropy,drift_novelty_raw,drift_norm,information_score,preselected_top40
1,unlabeled_pool/6Oct13-211.BMP,0.5993542075157166,0.40064576268196106,0,0.971327109248767,6.344520626142327,0.44193699263880154,0.7066320509437842,True
2,unlabeled_pool/6Oct13-772.BMP,0.6064364910125732,0.39356350898742676,0,0.9670607438875898,6.370411470840852,0.44577755909416816,0.706419151490879,True
3,unlabeled_pool/6Oct13-380-2.BMP,0.40253010392189026,0.5974699258804321,1,0.9724113627243635,6.304148505639827,0.4359483192857554,0.7041798410050595,True
4,unlabeled_pool/6Oct13-245.BMP,0.6106213927268982,0.3893786370754242,0,0.964397368490008,6.2341961953907825,0.4255718136388315,0.6949845910644198,True
5,unlabeled_pool/6Oct13-276.BMP,0.6953279376029968,0.30467209219932556,0,0.8869272416549353,6.710882773487012,0.49628200107679205,0.6916046213658636,True
6,unlabeled_pool/6Oct13-220.BMP,0.7293428778648376,0.27065712213516235,0,0.8424059855789223,6.9078576328868,0.5255006320782154,0.6839533088285689,True
7,unlabeled_pool/6Oct13-749.BMP,0.6125841736793518,0.3874157667160034,0,0.96311163015265,5.988370217646837,0.3891067614176941,0.676109195785172,True
8,unlabeled_pool/6Oct13-376.BMP,0.5833473205566406,0.41665270924568176,0,0.9798619609442243,5.859171073927635,0.3699417668720231,0.6749018639081237,True
9,unlabeled_pool/6Oct13-207.BMP,0.6575199961662292,0.34248000383377075,0,0.9271721504892605,6.151015158872259,0.4132330003519147,0.6702025754205876,True
10,unlabeled_pool/6Oct13-717-1.BMP,0.17520518600940704,0.8247948288917542,1,0.6694746165574929,7.808348774564139,0.6590766552767829,0.6642756359171379,True
11,unlabeled_pool/6Oct13-367.BMP,0.6245606541633606,0.375439316034317,0,0.9547571925759528,5.434452708785622,0.30694038066250134,0.630848786619227,True
12,unlabeled_pool/6Oct13-205.BMP,0.5852002501487732,0.4147997200489044,0,0.9789521618545816,5.204218024353575,0.27278809184428493,0.6258701268494332,True
13,unlabeled_pool/6Oct13-213.BMP,0.4904640018939972,0.5095359683036804,1,0.999737614399761,5.041197414479873,0.24860612740455384,0.6241718709021574,True
14,unlabeled_pool/6Oct13-210.BMP,0.726556122303009,0.2734438180923462,0,0.8463630674612563,6.059790454009505,0.3997010146065226,0.6230320410338894,True
15,unlabeled_pool/6Oct13-280.BMP,0.7559309601783752,0.24406906962394714,0,0.8017417394088476,6.333350917897299,0.4402801132553132,0.6210109263320804,True
16,unlabeled_pool/6Oct13-209.BMP,0.7986486554145813,0.20135128498077393,0,0.7246225131126253,6.806995601327173,0.5105390756076346,0.6175807943601299,True
17,unlabeled_pool/6Oct13-281.BMP,0.7726618647575378,0.22733816504478455,0,0.7733421574541617,6.375645035951707,0.44655388967900495,0.6099480235665833,True
18,unlabeled_pool/6Oct13-217.BMP,0.5581634044647217,0.44183656573295593,0,0.9902166515455821,4.796353300914254,0.21228672182688893,0.6012516866862355,True
19,unlabeled_pool/6Oct13-745-2.BMP,0.06224605813622475,0.9377539157867432,1,0.33629718384260426,9.006907046535495,0.8368670189259648,0.5865821013842846,True
20,unlabeled_pool/6Oct13-732.BMP,0.02591567672789097,0.9740843772888184,1,0.1734760520219072,10.044068602741493,0.990716301479014,0.5820961767504607,True
21,unlabeled_pool/6Oct13-726-3.BMP,0.12045203149318695,0.8795480132102966,1,0.5306587653662816,7.510586658540138,0.6149075596834717,0.5727831625248767,True
