filename,label
unlabeled_pool/6Oct13-689-1.BMP,1
unlabeled_pool/6Oct13-300-2.BMP,1
unlabeled_pool/6Oct13-192.BMP,0
unlabeled_pool/6Oct13-648-1.BMP,1
unlabeled_pool/6Oct13-720.BMP,1
unlabeled_pool/6Oct13-290-1.BMP,1
unlabeled_pool/6Oct13-474.BMP,1
unlabeled_pool/6Oct13-759-1.BMP,1
unlabeled_pool/6Oct13-736-1.BMP,1
unlabeled_pool/6Oct13-189.BMP,0
unlabeled_pool/6Oct13-742-1.BMP,1
unlabeled_pool/6Oct13-643-1.BMP,1
unlabeled_pool/6Oct13-208.BMP,0
unlabeled_pool/6Oct13-725-1.BMP,1
unlabeled_pool/6Oct13-791-2.BMP,1
unlabeled_pool/6Oct13-795-1.BMP,1
unlabeled_pool/6Oct13-259-1.BMP,1
unlabeled_pool/6Oct13-777-1.BMP,1
unlabeled_pool/6Oct13-480-1.BMP,1
unlabeled_pool/6Oct13-375.BMP,1
