rank,filename,p_no_defect,p_defect,predicted_label,uncertainty_entropy,drift_novelty_raw,drift_norm,information_score,preselected_top40
1,unlabeled_pool/6Oct13-430.BMP,0.7186875939369202,0.28131237626075745,0,0.8572328871496753,6.348048035075769,0.2221015941577764,0.5396672406537258,True
2,unlabeled_pool/6Oct13-783-1.BMP,0.0004486554826144129,0.9995513558387756,1,0.005637104580459649,11.986234168732274,1.0,0.5028185522902299,True
3,unlabeled_pool/6Oct13-366.BMP,0.8051354289054871,0.19486457109451294,0,0.711537564105689,6.748889694465186,0.2774055661165665,0.4944715651111278,True
4,unlabeled_pool/6Oct13-191.BMP,0.8191381096839905,0.1808619201183319,0,0.6819589448318755,6.511211772356882,0.24461323320505327,0.46328608901846435,True
5,unlabeled_pool/6Oct13-730-2.BMP,0.007102669682353735,0.9928972721099854,1,0.060905349946462635,10.513097732382473,0.7967519237110701,0.4288286368287664,True
6,unlabeled_pool/6Oct13-473-1.BMP,0.0016458421014249325,0.9983541965484619,1,0.0175914708781185,10.811215368948098,0.8378831011394843,0.4277372860088014,True
7,unlabeled_pool/6Oct13-276.BMP,0.875720739364624,0.12427922338247299,0,0.5415375820458903,6.923452939204259,0.3014899908911538,0.42151378646852206,True
8,unlabeled_pool/6Oct13-196.BMP,0.8893042802810669,0.11069570481777191,0,0.5020108731602898,7.009748634895787,0.31339617534802444,0.4077035242541571,True
9,unlabeled_pool/6Oct13-793-1.BMP,0.00192071043420583,0.9980792999267578,1,0.020101089670248904,10.327003256407533,0.7710765393294147,0.3955888144998318,True
10,unlabeled_pool/6Oct13-281.BMP,0.8774701952934265,0.12252979725599289,0,0.5365892440426283,6.577238520967594,0.2537229187084491,0.3951560813755387,True
11,unlabeled_pool/6Oct13-228.BMP,0.036106228828430176,0.9638938307762146,1,0.22414518686399929,8.70532486388116,0.5473341855953547,0.385739686229677,True
12,unlabeled_pool/6Oct13-610-2.BMP,0.003229881403967738,0.9967701435089111,1,0.031377182438206315,10.069995399854774,0.7356172626822882,0.38349722256024726,True
13,unlabeled_pool/6Oct13-213.BMP,0.9365320205688477,0.06346796452999115,0,0.34106033851946754,7.755841795377534,0.4163343661757443,0.37869735234760593,True
14,unlabeled_pool/6Oct13-719-1.BMP,0.0015429469058290124,0.9984570741653442,1,0.016635525328884484,9.982733810683893,0.7235778142678272,0.3701066697983558,True
15,unlabeled_pool/6Oct13-528.BMP,0.025481291115283966,0.9745186567306519,1,0.17119800925167078,8.795412663702002,0.5597635652229866,0.3654807872373287,True
16,unlabeled_pool/6Oct13-749.BMP,0.872878909111023,0.12712109088897705,0,0.5494895688873127,5.988803803075895,0.17253680350417624,0.36101318619574446,True
17,unlabeled_pool/6Oct13-406-1.BMP,0.00236131832934916,0.9976387023925781,1,0.024007923644068993,9.759940734337583,0.6928391378896347,0.35842353076685185,True
18,unlabeled_pool/6Oct13-733-1.BMP,0.0018158131279051304,0.9981841444969177,1,0.019150630346952847,9.749876206507546,0.6914505387960707,0.35530058457151176,True
19,unlabeled_pool/6Oct13-706-1.BMP,0.008795447647571564,0.991204559803009,1,0.07269752226225253,9.34435409192952,0.6355008062072613,0.35409916423475696,True
20,unlabeled_pool/6Oct13-480-1.BMP,0.0039103711023926735,0.9960896968841553,1,0.036907350955934344,9.587699459887865,0.6690750744766067,0.35299121271627054,True
21,unlabeled_pool/6Oct13-256.BMP,0.8978898525238037,0.10211017727851868,0,0.47564919026865093,6.391909842392615,0.22815319110408108,0.351901190686366,True
22,unlabeled_pool/6Oct13-338-1.BMP,0.0031459880992770195,0.9968540072441101,1,0.03068186714598284,9.59698300256026,0.6703559213437073,0.35051889424484506,True
23,unlabeled_pool/6Oct13-273-2.BMP,0.0026821154169738293,0.9973178505897522,1,0.02677606719577305,9.59714162346269,0.6703778062095505,0.34857693670266177,True
24,unlabeled_pool/6Oct13-745-1.BMP,0.002023636829108,0.9979763627052307,1,0.021025725324171057,9.630766937941466,0.6750170781152511,0.3480214017197111,True
25,unlabeled_pool/6Oct13-371.BMP,0.8980744481086731,0.1019255667924881,0,0.4750699266614197,6.316776849345196,0.21778712050402468,0.3464285235827222,True
26,unlabeled_pool/6Oct13-584-1.BMP,0.004468144383281469,0.9955317974090576,1,0.0413106503935728,9.45568431309449,0.6508609946638508,0.34608582252871184,True
27,unlabeled_pool/6Oct13-214.BMP,0.04979528486728668,0.9502047300338745,1,0.2855266844166866,7.640195614281157,0.4003787063617483,0.34295269538921747,True
28,unlabeled_pool/6Oct13-746-1.BMP,0.002356718061491847,0.9976432919502258,1,0.023967805445430018,9.501030940374893,0.6571174516582688,0.3405426285518494,True
29,unlabeled_pool/6Oct13-778-2.BMP,0.0010299010900780559,0.9989701509475708,1,0.011704988143417975,9.589806656206155,0.6693658035547068,0.3405353958490624,True
30,unlabeled_pool/6Oct13-395-2.BMP,0.0010499386116862297,0.9989500641822815,1,0.011903587535635597,9.573683359683566,0.6671412784389121,0.33952243298727386,True
31,unlabeled_pool/6Oct13-236-5.BMP,0.00047489319695159793,0.9995250701904297,1,0.005927888944962658,9.613120302977078,0.6725823785714858,0.33925513375822425,True
32,unlabeled_pool/6Oct13-321.BMP,0.9110315442085266,0.0889684408903122,0,0.4330172219130919,6.501293929916724,0.2432448722391853,0.3381310470761386,True
