filename,selected
unlabeled_pool/6Oct13-422.BMP,True
unlabeled_pool/6Oct13-689-1.BMP,False
unlabeled_pool/6Oct13-730-1.BMP,False
unlabeled_pool/6Oct13-406-1.BMP,True
unlabeled_pool/6Oct13-229-1.BMP,True
unlabeled_pool/6Oct13-473-1.BMP,False
unlabeled_pool/6Oct13-607.BMP,True
unlabeled_pool/6Oct13-193.BMP,True
unlabeled_pool/6Oct13-223.BMP,False
unlabeled_pool/6Oct13-729.BMP,True
unlabeled_pool/6Oct13-189.BMP,False
unlabeled_pool/6Oct13-262.BMP,False
unlabeled_pool/6Oct13-451-1.BMP,False
unlabeled_pool/6Oct13-264-3.BMP,True
unlabeled_pool/6Oct13-480-1.BMP,False
unlabeled_pool/6Oct13-204.BMP,True
unlabeled_pool/6Oct13-220.BMP,True
unlabeled_pool/6Oct13-273-2.BMP,False
unlabeled_pool/6Oct13-9.BMP,False
unlabeled_pool/6Oct13-290-1.BMP,True
unlabeled_pool/6Oct13-366.BMP,True
unlabeled_pool/6Oct13-7.BMP,False
unlabeled_pool/6Oct13-228.BMP,True
unlabeled_pool/6Oct13-682-3.BMP,True
unlabeled_pool/6Oct13-281.BMP,True
unlabeled_pool/6Oct13-211.BMP,True
unlabeled_pool/6Oct13-202.BMP,False
unlabeled_pool/6Oct13-306.BMP,False
unlabeled_pool/6Oct13-528.BMP,False
unlabeled_pool/6Oct13-401.BMP,False
unlabeled_pool/6Oct13-625-4.BMP,False
unlabeled_pool/6Oct13-491-1.BMP,True
unlabeled_pool/6Oct13-250.BMP,True
unlabeled_pool/6Oct13-347-1.BMP,True
unlabeled_pool/6Oct13-207.BMP,True
unlabeled_pool/6Oct13-783-2.BMP,False
unlabeled_pool/6Oct13-643-1.BMP,False
unlabeled_pool/6Oct13-300-2.BMP,True
unlabeled_pool/6Oct13-293-1.BMP,False
unlabeled_pool/6Oct13-649-1.BMP,False
