rank,filename,p_no_defect,p_defect,predicted_label,uncertainty_entropy,diversity_raw,diversity_norm,drift_novelty_raw,drift_norm,combined_score,selected
1,unlabeled_pool/6Oct13-718.BMP,0.46579229831695557,0.5342076420783997,1,0.9966210053395124,8.236502647399902,0.6079114085926929,7.856400966644287,0.6446896354414144,0.7497406831245399,True
2,unlabeled_pool/6Oct13-607.BMP,0.6337426900863647,0.36625730991363525,0,0.9477549468642785,7.978509426116943,0.5589267485807331,7.729344367980957,0.6237694345876383,0.7101503766775499,True
3,unlabeled_pool/6Oct13-709-1.BMP,0.015978865325450897,0.9840211272239685,1,0.11822440839968741,10.30156135559082,1.0,10.0143404006958,1.0,0.7060748027998958,True
4,unlabeled_pool/6Oct13-758-1.BMP,0.02104322984814644,0.9789567589759827,1,0.14725860193664675,10.099946975708008,0.9617198785186298,9.92386245727539,0.9851025702788795,0.6980270169113854,True
5,unlabeled_pool/6Oct13-795-1.BMP,0.20773287117481232,0.7922670841217041,1,0.737126847794605,8.382076263427734,0.6355511816548465,8.224592208862305,0.705313285222977,0.6926637715574762,True
6,unlabeled_pool/6Oct13-303-1.BMP,0.04652569815516472,0.9534743428230286,1,0.27145083982406315,9.379226684570312,0.8248781496951423,9.4802885055542,0.9120669604708488,0.6694653166633513,True
7,unlabeled_pool/6Oct13-648-1.BMP,0.06189683452248573,0.938103199005127,1,0.33492902744610115,9.179338455200195,0.7869257689798798,9.003440856933594,0.8335527495542846,0.651802515326755,True
8,unlabeled_pool/6Oct13-619-1.BMP,0.04050346463918686,0.9594965577125549,1,0.2445957821033051,9.664182662963867,0.878982174795377,8.809597969055176,0.801636011729137,0.6417379895426063,True
9,unlabeled_pool/6Oct13-788-1.BMP,0.02117500640451908,0.978825032711029,1,0.14798794213171568,9.535910606384277,0.8546274144286514,8.985676765441895,0.8306278454886884,0.6110810673496851,True
10,unlabeled_pool/6Oct13-649-1.BMP,0.06062116101384163,0.9393788576126099,1,0.32990575210324147,8.75450325012207,0.7062631532011536,8.62452220916748,0.7711628044282297,0.6024439032442083,True
11,unlabeled_pool/6Oct13-340-1.BMP,0.05494772642850876,0.9450522661209106,1,0.30705386349289626,8.594978332519531,0.6759744742454153,8.80875301361084,0.8014968876081234,0.594841741782145,True
12,unlabeled_pool/6Oct13-460.BMP,0.7923928499221802,0.2076071798801422,0,0.7368839538286956,7.564248085021973,0.48027177133472426,7.274686813354492,0.5489088806098347,0.5886882019244182,True
13,unlabeled_pool/6Oct13-612-4.BMP,0.021236922591924667,0.9787630438804626,1,0.14833034608923548,9.06000804901123,0.7642687419960409,8.795812606811523,0.7993662158270489,0.5706551013041083,True
14,unlabeled_pool/6Oct13-381-1.BMP,0.07979773730039597,0.9202022552490234,1,0.4014661136374262,8.326559066772461,0.6250102418989408,7.990500450134277,0.6667694656785819,0.5644152737383162,True
15,unlabeled_pool/6Oct13-338-1.BMP,0.07126926630735397,0.9287307262420654,1,0.3706425614027159,8.315876960754395,0.6229820516662494,7.713376998901367,0.6211403655604049,0.5382549928764567,True
16,unlabeled_pool/6Oct13-220.BMP,0.7158379554748535,0.2841620445251465,0,0.8610600915845991,6.503406047821045,0.2788518027779199,6.583042144775391,0.4350277792869622,0.5249798912164937,True
17,unlabeled_pool/6Oct13-793-2.BMP,0.030193930491805077,0.9698060750961304,1,0.1953634714692129,8.50522232055664,0.6589326786968049,8.214692115783691,0.7036832090376034,0.5193264530678737,True
18,unlabeled_pool/6Oct13-211.BMP,0.6277863383293152,0.3722136318683624,0,0.9523566494405395,6.183863162994385,0.21818083051501927,6.253517150878906,0.3807706282914396,0.5171027027489994,True
19,unlabeled_pool/6Oct13-209.BMP,0.7760780453681946,0.2239219844341278,0,0.7672645118073163,6.765813827514648,0.32867464621878145,6.651798725128174,0.44634872984074214,0.51409596262228,True
20,unlabeled_pool/6Oct13-207.BMP,0.6413558125495911,0.3586442172527313,0,0.9415520058647296,6.293020248413086,0.23890626930965753,6.054239749908447,0.34795908369022494,0.5094724529548706,True
21,unlabeled_pool/6Oct13-703-2.BMP,0.07141587883234024,0.928584098815918,1,0.3711853865589088,7.795347213745117,0.5241501034601548,7.04441499710083,0.510994024571895,0.46877650486365285,False
22,unlabeled_pool/6Oct13-871.BMP,0.33769235014915466,0.662307620048523,1,0.9225933307210291,5.822366237640381,0.14954412798548525,5.947749137878418,0.33042512625592496,0.4675208616541464,False
23,unlabeled_pool/6Oct13-726-6.BMP,0.07912745326757431,0.9208725094795227,1,0.399097280329987,7.355623245239258,0.4406605877695656,7.1704020500183105,0.5317381219248623,0.4571653300081383,False
