filename,label
unlabeled_pool/6Oct13-136.BMP,0
unlabeled_pool/6Oct13-347-1.BMP,1
unlabeled_pool/6Oct13-192.BMP,0
unlabeled_pool/6Oct13-300-2.BMP,1
unlabeled_pool/6Oct13-451-1.BMP,0
unlabeled_pool/6Oct13-646-1.BMP,1
unlabeled_pool/6Oct13-189.BMP,0
unlabeled_pool/6Oct13-355-1.BMP,1
unlabeled_pool/6Oct13-415-1.BMP,1
unlabeled_pool/6Oct13-406-1.BMP,1
unlabeled_pool/6Oct13-610-1.BMP,1
unlabeled_pool/6Oct13-491-1.BMP,1
unlabeled_pool/6Oct13-726-3.BMP,1
unlabeled_pool/6Oct13-485-1.BMP,1
unlabeled_pool/6Oct13-871.BMP,1
unlabeled_pool/6Oct13-724-1.BMP,1
unlabeled_pool/6Oct13-682-1.BMP,1
unlabeled_pool/6Oct13-688-2.BMP,1
unlabeled_pool/6Oct13-783-2.BMP,1
unlabeled_pool/6Oct13-730-1.BMP,1
